FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
85.47,12.79,33.84,280.00,1,Spring,All
84.77,14.26,38.88,90.00,1,Spring,All
87.04,16.53,29.16,132.00,1,Spring,All
87.08,18.00,18.72,110.00,1,Spring,All
86.74,19.34,36.00,143.00,1,Spring,All
86.65,20.30,25.56,103.00,1,Spring,All
85.71,14.72,25.56,120.00,1,Spring,All
83.64,20.29,30.96,170.00,1,Spring,All
82.79,21.38,35.64,108.00,1,Spring,All
83.65,24.20,36.00,120.00,1,Spring,All
83.75,27.16,41.76,102.00,2,Spring,All
83.94,29.02,29.88,7.00,1,Spring,All
84.03,30.74,27.36,90.00,1,Spring,All
84.12,33.77,26.28,45.00,1,Spring,All
85.62,41.70,19.80,307.00,1,Spring,All
85.67,43.67,17.64,55.00,1,Summer,All
85.12,45.32,20.16,300.00,1,Summer,All
85.17,47.34,18.36,3.00,1,Summer,All
85.73,49.70,15.48,320.00,1,Summer,All
85.78,51.67,15.84,63.00,1,Summer,All
82.75,36.84,24.84,40.00,1,Summer,All
83.61,40.80,20.52,47.00,1,Summer,All
83.66,42.31,21.60,130.00,1,Summer,All
84.64,45.93,34.56,10.00,2,Summer,All
86.37,49.10,39.96,22.00,4,Summer,All
85.83,51.29,22.32,57.00,1,Summer,All
85.88,54.05,10.80,300.00,1,Summer,All
86.01,56.83,13.68,282.00,1,Summer,All
86.06,58.98,19.08,128.00,1,Summer,All
85.86,61.33,13.32,110.00,1,Summer,All
85.91,63.70,14.76,43.00,1,Summer,All
85.01,51.48,24.84,112.00,1,Summer,All
85.06,54.07,16.92,12.00,1,Summer,All
85.11,56.79,14.04,200.00,1,Summer,All
84.30,58.58,22.32,45.00,1,Summer,All
82.46,59.84,16.20,180.00,1,Summer,All
82.34,61.08,17.64,337.00,1,Summer,All
82.68,66.13,15.12,10.00,1,Summer,All
82.37,67.56,16.20,32.00,1,Summer,All
82.50,69.49,16.92,17.00,1,Summer,All
85.57,72.87,12.60,320.00,1,Summer,All
87.58,76.99,18.72,20.00,2,Summer,All
87.63,80.25,30.96,10.00,4,Summer,All
