FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
82.04907714,10.63114079,45.72,223,1,Spring,All
83.8408127,11.07387129,34.92,110,1,Spring,All
82.77101872,11.45271957,39.6,123,1,Spring,All
81.46288164,15.37222405,41.4,20,1,Spring,All
82.70163632,12.33946539,34.56,250,1,Spring,All
83.31761541,15.87613966,32.04,60,1,Spring,All
83.24996311,20.9985277,28.08,317,1,Spring,All
83.25743361,22.25393782,25.92,30,1,Spring,All
84.99518382,26.77929935,43.2,120,2,Spring,All
85.3439617,29.46293764,18.36,20,1,Spring,All
85.39178198,31.26728134,17.28,300,1,Spring,All
84.69247815,33.03113144,19.08,300,1,Spring,All
86.78178464,36.43061646,20.16,250,1,Spring,All
86.83007962,38.45728318,39.96,90,4,Spring,All
86.59658633,40.16910411,28.08,265,2,Spring,All
86.48043302,41.28303915,15.48,297,1,Spring,All
83.76232239,43.01459405,35.28,63,2,Spring,All
84.04274223,46.30593195,21.96,308,1,Spring,All
84.09013292,47.93041518,26.28,210,1,Spring,All
84.13753925,49.06379884,36.36,110,2,Spring,All
84.18496123,50.66641273,23.76,0,1,Spring,All
85.56897431,52.9736778,41.4,20,4,Spring,All
81.08187681,53.73553107,21.96,250,1,Spring,All
82.45809682,55.32948318,32.4,130,1,Spring,All
82.50496433,56.76179117,24.48,330,1,Spring,All
83.32557086,58.48774611,16.56,107,1,Spring,All
82.61364022,59.47371057,18.72,310,1,Spring,All
83.36138479,62.04302067,25.2,90,1,Spring,All
83.40855053,63.27564096,22.32,337,1,Spring,All
83.45573184,64.78902457,18.36,220,1,Spring,All
83.65891903,66.63340442,13.68,145,1,Spring,All
83.80327999,69.73528402,31.68,20,2,Spring,All
83.85059162,71.10876037,20.88,27,1,Spring,All
83.63630713,72.06154587,44.64,77,4,Spring,All
81.91461301,72.80998351,15.84,300,1,Spring,All
82.26578858,74.3407206,41.76,123,3,Spring,All
83.36734582,76.20187299,33.48,340,2,Spring,All
85.45715332,78.5961646,29.52,130,3,Spring,All
85.50501097,80.55609605,26.28,220,2,Summer,All
84.9057172,82.11859598,14.04,340,1,Summer,All
84.9533928,84.14754048,15.84,250,1,Summer,All
85.49202455,86.62020925,15.48,22,1,Summer,All
85.53989372,88.57986837,20.88,300,2,Summer,All
78.57103331,89.08864831,22.32,90,1,Summer,All
78.81149462,90.81176707,25.92,120,1,Summer,All
82.0800881,92.83570942,12.96,240,1,Summer,All
83.21604682,94.8622001,16.56,350,1,Summer,All
83.26316458,96.52850142,12.96,170,1,Summer,All
83.31029788,97.94239286,30.96,250,3,Summer,All
80.6493042,98.85469956,15.48,20,1,Summer,All
83.66903694,101.3782292,5.76,123,1,Summer,All
85.86133157,104.4441638,15.84,290,1,Summer,All
85.58357749,106.530767,15.84,30,1,Summer,All
85.65446454,109.2119587,25.56,50,3,Summer,All
85.8312708,111.9218798,13.32,247,1,Summer,All
85.87925197,113.9554695,20.16,33,2,Summer,All
85.65977337,116.2224844,18.36,122,2,Summer,All
85.70769792,118.5348363,21.96,220,3,Summer,All
81.56381512,121.1268856,17.64,250,1,Summer,All
82.63311478,122.994914,11.88,300,1,Summer,All
82.86829364,124.8338197,24.84,152,2,Summer,All
84.94410294,127.5013386,34.92,67,5,Summer,All
84.99179121,129.9034722,14.04,280,1,Summer,All
85.03949522,132.423848,20.16,40,2,Summer,All
84.21897514,134.1338069,19.44,28,2,Summer,All
82.24140484,135.3669222,27,10,2,Summer,All
82.22102726,136.5895221,14.4,5,1,Summer,All
82.71504416,138.3876168,16.56,22,1,Summer,All
82.54274134,139.8068389,15.84,313,1,Summer,All
82.5896368,141.5339689,18,10,1,Summer,All
82.27774583,142.9684586,21.96,30,1,Summer,All
82.42175022,144.8405339,20.88,53,1,Summer,All
85.58394219,147.9914587,18,300,2,Summer,All
87.53301233,151.8113168,22.68,172,4,Summer,All
87.58155533,154.8782761,26.64,323,5,Summer,All
87.63011436,158.3268447,18,120,3,Summer,All
87.67868942,161.6435269,16.92,320,3,Summer,All
86.19057899,164.1444451,31.68,40,5,Summer,All
86.23867878,166.9601232,15.84,135,2,Summer,All
84.08251511,168.615189,18.36,160,2,Summer,All
81.18809061,169.8254296,15.84,50,1,Summer,All
82.65168659,171.8807697,15.48,48,1,Summer,All
83.23481943,173.9634522,11.52,137,1,Summer,All
83.39389657,176.018609,19.44,10,2,Summer,All
79.24118935,176.9836709,30.6,5,2,Summer,All
82.49259568,178.9335237,19.08,143,1,Summer,All
84.38281633,181.3974639,17.28,130,2,Summer,All
84.43031929,183.6458828,14.04,307,1,Summer,All
85.85695281,186.5005863,23.76,110,4,Summer,All
83.93304195,188.1781629,16.2,217,2,Summer,All
84.02874235,190.4250121,16.92,120,2,Summer,All
85.5966737,193.2291496,9.36,205,1,Summer,All
85.9159874,195.9527347,14.04,290,2,Summer,All
85.96399654,198.7252715,20.16,325,3,Summer,All
86.01202153,201.4183653,15.84,110,2,Summer,All
86.40334254,204.2227012,13.32,160,2,Summer,All
86.45151258,206.7222204,18.72,253,3,Summer,All
86.49969852,209.1453852,18.72,290,3,Summer,All
86.27456841,211.3562822,16.2,327,3,Summer,All
86.32269593,213.8711477,19.44,0,3,Summer,All
86.37083935,216.4022939,16.92,325,3,Summer,All
86.29184219,218.7870314,15.84,7,3,Summer,All
86.33997542,221.1719729,22.68,303,4,Summer,All
86.38812453,223.5536918,16.2,243,3,Summer,All
85.97304565,225.7119152,12.96,293,2,Summer,All
84.45193659,227.5359724,15.48,320,2,Summer,All
84.05042078,229.2645036,21.96,25,3,Summer,All
84.097814,231.2068993,22.68,290,3,Summer,All
81.95278474,232.3343489,9.36,205,1,Summer,All
