"month","tmin.c","tmax.c","sd.tmin.c","sd.tmax.c","prec.cm","sd.pred.cm"
1,-5.30827956989247,5.29731182795699,2.1376991294722,2.29720848079032,103,15.6580180481248
2,-4.68273809523810,5.47154761904762,2.52580839048641,2.12614552543609,114.6,13.9304783688934
3,-0.76483870967742,10.6353763440860,1.54432038025318,1.7775527877363,161.4,14.3798266619451
4,4.57477777777778,15.4642222222222,1.4048778415509,1.49550717529758,79.4,21.6057953166359
5,9.7721505376344,21.6835483870968,1.18408007759213,1.36461706487731,80.6,20.0701262788896
6,14.8281111111111,26.4534444444444,1.46417413158809,1.42407877955202,76.2,14.9589435670999
7,18.0786021505376,28.9195698924731,1.16333724043851,1.21821574980406,86.4,23.4741903977025
8,17.8738709677419,28.1161290322581,1.66241305733659,1.36178604388608,43.9,37.3603167382399
9,13.4321111111111,24.7822222222222,1.89808927585243,1.03905215182001,85.2,21.3237608255937
10,6.96322580645161,19.1611827956989,1.97873651211134,1.55829571593207,120.1,12.0837273546538
11,1.95533333333333,12.9327777777778,1.91719135247172,1.25505539659861,72.1,19.1704072142096
12,-2.93849462365591,7.39096774193548,2.08499763488798,1.54794751824821,85.9,12.070892742842
