LandisData "Climate Data"

ClimateTable
>>Eco	Time	Month	AvgMinT	AvgMaxT	StdDevT	AvgPpt	StdDev	PAR
>>Index	Step		(C)	(C)	(K)	(cm)	Ppt	µmol m-2 s-1
uplow	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
uplow	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
uplow	0	3	-3.0	14.7	3.2	9.2	3.9	0.0
uplow	0	4	2.9	19.0	2.4	9.0	4.6	0.0
uplow	0	5	8.9	23.7	2.1	8.4	4.2	0.0
uplow	0	6	14.9	26.8	1.6	6.8	3.6	0.0
uplow	0	7	18.6	28.5	1.4	9.8	5.9	0.0
uplow	0	8	17.2	27.4	1.6	10.6	6.8	0.0
uplow	0	9	11.5	25.2	1.8	7.4	4.0	0.0
uplow	0	10	4.6	20.7	2.2	7.2	3.6	0.0
uplow	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
uplow	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
upmed	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
upmed	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
upmed	0	3	-3.0	14.7	3.2	9.2	3.9	0.0
upmed	0	4	2.9	19.0	2.4	9.0	4.6	0.0
upmed	0	5	8.9	23.7	2.1	8.4	4.2	0.0
upmed	0	6	14.9	26.8	1.6	6.8	3.6	0.0
upmed	0	7	18.6	28.5	1.4	9.8	5.9	0.0
upmed	0	8	17.2	27.4	1.6	10.6	6.8	0.0
upmed	0	9	11.5	25.2	1.8	7.4	4.0	0.0
upmed	0	10	4.6	20.7	2.2	7.2	3.6	0.0
upmed	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
upmed	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
uphigh	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
uphigh	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
uphigh	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
uphigh	0	4	2.9	19.0	2.4	9.0	4.6	0.0
uphigh	0	5	8.9	23.7	2.1	8.4	4.2	0.0
uphigh	0	6	14.9	26.8	1.6	6.8	3.6	0.0
uphigh	0	7	18.6	28.5	1.4	9.8	5.9	0.0
uphigh	0	8	17.2	27.4	1.6	10.6	6.8	0.0
uphigh	0	9	11.5	25.2	1.8	7.4	4.0	0.0
uphigh	0	10	4.6	20.7	2.2	7.2	3.6	0.0
uphigh	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
uphigh	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
wetlow	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
wetlow	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
wetlow	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
wetlow	0	4	2.9	19.0	2.4	9.0	4.6	0.0
wetlow	0	5	8.9	23.7	2.1	8.4	4.2	0.0
wetlow	0	6	14.9	26.8	1.6	6.8	3.6	0.0
wetlow	0	7	18.6	28.5	1.4	9.8	5.9	0.0
wetlow	0	8	17.2	27.4	1.6	10.6	6.8	0.0
wetlow	0	9	11.5	25.2	1.8	7.4	4.0	0.0
wetlow	0	10	4.6	20.7	2.2	7.2	3.6	0.0
wetlow	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
wetlow	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
wetmed	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
wetmed	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
wetmed	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
wetmed	0	4	2.9	19.0	2.4	9.0	4.6	0.0
wetmed	0	5	8.9	23.7	2.1	8.4	4.2	0.0
wetmed	0	6	14.9	26.8	1.6	6.8	3.6	0.0
wetmed	0	7	18.6	28.5	1.4	9.8	5.9	0.0
wetmed	0	8	17.2	27.4	1.6	10.6	6.8	0.0
wetmed	0	9	11.5	25.2	1.8	7.4	4.0	0.0
wetmed	0	10	4.6	20.7	2.2	7.2	3.6	0.0
wetmed	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
wetmed	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
wethigh	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
wethigh	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
wethigh	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
wethigh	0	4	2.9	19.0	2.4	9.0	4.6	0.0
wethigh	0	5	8.9	23.7	2.1	8.4	4.2	0.0
wethigh	0	6	14.9	26.8	1.6	6.8	3.6	0.0
wethigh	0	7	18.6	28.5	1.4	9.8	5.9	0.0
wethigh	0	8	17.2	27.4	1.6	10.6	6.8	0.0
wethigh	0	9	11.5	25.2	1.8	7.4	4.0	0.0
wethigh	0	10	4.6	20.7	2.2	7.2	3.6	0.0
wethigh	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
wethigh	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
plains	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
plains	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
plains	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
plains	0	4	2.9	19.0	2.4	9.0	4.6	0.0
plains	0	5	8.9	23.7	2.1	8.4	4.2	0.0
plains	0	6	14.9	26.8	1.6	6.8	3.6	0.0
plains	0	7	18.6	28.5	1.4	9.8	5.9	0.0
plains	0	8	17.2	27.4	1.6	10.6	6.8	0.0
plains	0	9	11.5	25.2	1.8	7.4	4.0	0.0
plains	0	10	4.6	20.7	2.2	7.2	3.6	0.0
plains	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
plains	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
