FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
87.00,15.87,30.6,0,1,Spring,All
87.05,17.32,33.12,110,1,Spring,All
86.61,19.56,31.68,90,1,Spring,All
85.80,12.88,37.08,103,1,Spring,All
83.68,22.72,27.36,120,1,Spring,All
83.73,24.16,30.6,17,1,Spring,All
84.02,27.74,21.96,140,1,Spring,All
82.02,35.07,29.88,60,1,Spring,All
83.75,38.8,29.16,240,1,Spring,All
85.88,41.21,20.88,180,1,Spring,All
85.93,43.29,16.56,50,1,Summer,All
85.33,45.07,16.92,62,1,Summer,All
85.38,47.23,14.76,8,1,Summer,All
85.98,49.74,18,125,1,Summer,All
86.02,51.87,12.6,180,1,Summer,All
78.55,52.8,27,50,1,Summer,All
83.16,37.06,24.84,57,1,Summer,All
80.81,44.11,26.64,40,1,Summer,All
84.69,46.96,15.12,240,1,Summer,All
86.61,50.36,20.16,340,1,Summer,All
86.15,52.74,19.8,268,1,Summer,All
86.21,55.74,20.16,285,1,Summer,All
86.37,58.76,12.6,93,1,Summer,All
86.41,61.21,14.04,245,1,Summer,All
86.22,63.76,18.36,88,1,Summer,All
86.27,66.35,26.28,20,2,Summer,All
83.40,45.86,20.16,47,1,Summer,All
83.45,48.06,15.48,273,1,Summer,All
85.33,51.32,11.16,128,1,Summer,All
85.38,54.17,12.96,303,1,Summer,All
85.43,57.15,21.6,215,1,Summer,All
84.69,59.16,12.96,127,1,Summer,All
82.73,60.58,22.32,288,1,Summer,All
82.65,62,14.76,60,1,Summer,All
83.23,64.13,18.36,50,1,Summer,All
83.08,67.63,20.88,100,1,Summer,All
82.74,69.22,24.48,140,1,Summer,All
86.27,75.02,22.68,90,2,Summer,All
88.11,79.48,27,130,4,Summer,All
88.16,83.07,15.84,118,2,Summer,All
88.21,87,17.28,300,2,Summer,All
88.26,90.79,25.56,10,4,Summer,All
86.64,93.58,16.56,135,2,Summer,All
86.68,96.81,15.84,320,2,Summer,All
84.42,98.68,18.72,337,1,Summer,All
81.48,99.99,16.56,320,1,Summer,All
83.23,102.28,23.4,110,1,Summer,All
83.77,104.61,21.24,0,1,Summer,All
83.85,106.92,22.32,130,2,Summer,All
79.65,107.92,17.64,37,1,Summer,All
83.07,110.11,18.72,55,1,Summer,All
84.94,112.83,17.28,50,1,Summer,All
84.99,112.67,19.8,220,2,Summer,All
86.30,115.84,18.72,180,2,Summer,All
84.24,110.28,22.32,213,2,Summer,All
84.40,105.47,12.96,210,1,Summer,All
86.21,108.7,25.92,125,3,Summer,All
86.38,111.86,18,300,2,Summer,All
86.43,115.01,12.6,245,1,Summer,All
86.48,118.05,14.76,80,2,Summer,All
86.82,121.29,16.56,130,2,Summer,All
86.86,124.17,13.68,92,2,Summer,All
86.91,126.9,12.96,328,2,Summer,All
86.60,129.38,20.52,50,3,Summer,All
86.65,132.19,15.12,223,2,Summer,All
86.69,135,24.84,5,4,Summer,All
86.65,123.62,20.88,10,3,Summer,All
86.70,126.36,14.04,148,2,Summer,All
86.75,129.12,11.88,30,2,Summer,All
86.31,131.56,14.76,330,2,Summer,All
84.69,133.5,18,10,2,Summer,All
84.40,135.34,0,180,1,Summer,All
84.45,137.56,21.24,47,2,Summer,All
82.07,126.49,20.16,140,1,Summer,All
81.95,121.48,12.6,147,1,Summer,All
84.68,124.21,17.28,130,1,Summer,All
85.05,126.89,17.28,0,2,Summer,All
85.74,129.84,13.32,330,1,Summer,All
85.14,126.1,22.68,130,3,Summer,All
85.43,128.94,23.04,220,3,Summer,All
85.63,131.56,15.12,310,2,Summer,All
84.58,117.59,18.36,130,1,Summer,All
84.63,119.59,21.96,305,2,Summer,All
84.68,121.79,24.84,43,3,Summer,All
85.72,124.63,19.08,350,2,Summer,All
